student_id,name,age,gender,math,english,science,avg_score
1,Ali,20.0,M,88.0,75.0,91.0,84.67
2,Sara,19.0,F,92.0,89.0,95.0,92.0
3,Omar,21.0,M,70.0,65.0,79.0,71.33
4,Zainab,20.0,F,85.0,74.0,88.0,82.33
5,Hassan,20.0,M,60.0,58.0,62.0,60.0
6,Noor,22.0,F,99.0,94.0,96.0,96.33
7,Mohammed,20.0,M,45.0,55.0,50.0,50.0
8,Rana,19.0,F,77.0,73.0,79.0,76.33
9,Yousef,21.0,M,82.0,80.0,78.0,80.0
10,Maryam,20.0,F,66.0,70.0,79.0,71.67
11,Ahmed,23.0,M,90.0,85.0,88.0,87.67
12,Lina,19.0,F,72.0,74.0,71.0,72.33
13,Karim,20.0,M,79.5,60.0,65.0,68.17
14,Huda,22.0,F,84.0,83.0,82.0,83.0
15,Saif,21.0,M,55.0,74.0,59.0,62.67
